Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
7days_ln,rnn,320000,40000,40000,0.942425,0.9532876712328768,0.9582633053221288,0.9078237410071942,0.9397915725207332,0.9417956861531582,0.912946611665154,0.942425,168.63192462921145
7days_ln,transformer,320000,40000,40000,0.9506,0.9597614477652864,0.9641871328473351,0.9217406718071436,0.9485630841399216,0.9493420329847756,0.925420509671972,0.9506,1077.3730809688568
7days_ln_whi,atbi-gru,320000,40000,40000,0.923875,0.9384657273160438,0.9415500999143592,0.882977781711959,0.920997869647454,0.9233126003852272,0.8849788096262662,0.923875,267.5090217590332
7days_ln_whi,atbi-lstm,320000,40000,40000,0.9325,0.9425207756232687,0.9484689537850864,0.9001921061823263,0.9303939451968938,0.9321079555505746,0.898148329846498,0.9325,284.0531153678894
7days_ln_whi,atbi-rnn,320000,40000,40000,0.9326,0.9477106100428828,0.9479813664596274,0.8942324599964832,0.9299748121663312,0.9320799936244664,0.8982364351564943,0.9326,359.94614934921265
7days_ln_whi,bi-gru,320000,40000,40000,0.93055,0.9451535012073128,0.9454352441613588,0.8934505494505495,0.9280130982730738,0.9303221850784714,0.8951310261243648,0.93055,261.75306034088135
7days_ln_whi,bi-lstm,320000,40000,40000,0.932825,0.9420696258805829,0.950290327149129,0.8989073465399308,0.9304224331898808,0.9320779131713812,0.8985232059885675,0.932825,283.71559834480286
7days_ln_whi,bi-rnn,320000,40000,40000,0.9361,0.9496954349462734,0.95251317100954,0.8982632460548355,0.933490617336883,0.9356846005764043,0.9034903856483129,0.9361,372.3287386894226
7days_ln_whi,gru,320000,40000,40000,0.9317,0.9426023013549396,0.946328081035453,0.8985311345408669,0.9291538389770864,0.9306146173446124,0.8967341777374328,0.9317,144.09210729599
7days_ln_whi,lstm,320000,40000,40000,0.9286,0.9416781292984868,0.9461969235131495,0.8899850259843213,0.9259533595986524,0.9282319420077028,0.8921704982751532,0.9286,138.52480792999268
