Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,bi-gru,Site A to E,4000.0,0.0,0.7285937499999999,0.4097432024169183,0.355036855036855,0.9088461538461536,0.5574605525153108,0.6651929653001288,0.3978609782271261,0.7285937499999999,Direct,
7days_ln,bi-gru,Site A to F,4000.0,0.0,0.9569375,0.5447530864197531,0.7424242424242424,0.9947104677060132,0.7606292655166695,0.861391853797672,0.7462546264513239,0.9569375,Direct,
7days_ln,bi-gru,Site D to E,4000.0,0.0,0.6996875,0.4866565961732124,0.4631449631449632,0.818125,0.5893706317101333,0.6310597611092242,0.3874251844719771,0.6996875,Direct,
7days_ln,bi-lstm,Site A to B,4000.0,0.0,0.8353125,0.7256245662734212,0.8724381625441696,0.926027097902098,0.8418104027981838,0.8428059288529904,0.754011037053335,0.8353125,Direct,
7days_ln,bi-lstm,Site A to D,4000.0,0.0,0.7939375000000001,0.3059345156889495,0.5357692307692308,0.9933607183798244,0.6136718977267057,0.8505757029099885,0.5137830108381011,0.7939375000000001,Direct,
7days_ln,bi-lstm,Site A to E,4000.0,0.0,0.7359687500000001,0.4389476334340382,0.3636363636363636,0.9070192307692309,0.5706193417711545,0.6710911039127581,0.4203525347109991,0.7359687500000001,Direct,
7days_ln,bi-lstm,Site A to F,4000.0,0.0,0.959375,0.6424897119341564,0.6893939393939393,0.9931096881959908,0.7751091427556102,0.8726426648649089,0.7622433814895161,0.959375,Direct,
7days_ln,bi-lstm,Site D to E,4000.0,0.0,0.70675,0.5215256797583081,0.4324324324324324,0.8210576923076923,0.5922404475520034,0.6421931194438022,0.4034250230632166,0.70675,Direct,
7days_ln,bi-rnn,Site A to B,4000.0,0.0,0.87034375,0.7814018043025677,0.9274734982332152,0.9129152097902096,0.8736105792848571,0.8715297515583952,0.8054114036231734,0.87034375,Direct,
7days_ln,bi-rnn,Site A to D,4000.0,0.0,0.8386562500000001,0.415075034106412,0.7184615384615384,0.9877722583110432,0.706441186568032,0.876420287706226,0.641375393593606,0.8386562500000001,Direct,
7days_ln,bi-rnn,Site A to E,4000.0,0.0,0.7333125,0.4065961732124874,0.410012285012285,0.9081249999999998,0.5752930822964811,0.667840548330522,0.411343654111601,0.7333125,Direct,
7days_ln,bi-rnn,Site A to F,4000.0,0.0,0.9575625,0.5715020576131686,0.7030303030303031,0.995197661469933,0.7576726911947154,0.8951758500799678,0.7426859871591357,0.9575625,Direct,
7days_ln,bi-rnn,Site D to E,4000.0,0.0,0.72140625,0.4436052366565962,0.4689803439803439,0.866923076923077,0.5929163366380134,0.6562855544802054,0.4074101079505786,0.72140625,Direct,
7days_ln,gru,Site A to B,4000.0,0.0,0.85309375,0.7414122137404581,0.9219081272084806,0.9093094405594404,0.8573622630651162,0.8565587016272967,0.7798687537561064,0.85309375,Direct,
7days_ln,gru,Site A to D,4000.0,0.0,0.8330624999999999,0.3512960436562073,0.7571153846153846,0.9873423767672908,0.6980814883763778,0.86243735177598,0.6301885775144278,0.8330624999999999,Direct,
7days_ln,gru,Site A to E,4000.0,0.0,0.73421875,0.4237160120845921,0.3989557739557739,0.904951923076923,0.5761679933318906,0.6628102367170369,0.4188737678500659,0.73421875,Direct,
7days_ln,gru,Site A to F,4000.0,0.0,0.9574375,0.5390946502057613,0.7598484848484848,0.994849665924276,0.765067851276659,0.8647608598806846,0.7500249281559103,0.9574375,Direct,
7days_ln,gru,Site D to E,4000.0,0.0,0.7134999999999999,0.4866565961732125,0.5012285012285013,0.833125,0.6068944703423556,0.6448310037439645,0.4119735654280748,0.7134999999999999,Direct,
7days_ln,lstm,Site A to B,4000.0,0.0,0.84596875,0.724323386537127,0.9204063604240283,0.9082167832167832,0.8507091704645349,0.8507353554949696,0.7693668918223912,0.84596875,Direct,
7days_ln,lstm,Site A to D,4000.0,0.0,0.8355625000000001,0.3685197817189631,0.751346153846154,0.9870080244554832,0.7028739170596809,0.8595013346879289,0.6370430980464901,0.8355625000000001,Direct,
7days_ln,lstm,Site A to E,4000.0,0.0,0.72309375,0.3760070493454178,0.3688574938574938,0.9104807692307691,0.5531725801948613,0.6456923168260215,0.3849697835522749,0.72309375,Direct,
7days_ln,lstm,Site A to F,4000.0,0.0,0.960125,0.5972222222222222,0.7628787878787879,0.9935968819599108,0.7849877099725012,0.8688197028297927,0.769559156447017,0.960125,Direct,
7days_ln,lstm,Site D to E,4000.0,0.0,0.6824375,0.4736908358509566,0.4293611793611793,0.8004326923076923,0.5675557999425069,0.6180743194305601,0.3499309492584986,0.6824375,Direct,
7days_ln,rnn,Site A to B,4000.0,0.0,0.872,0.7840041637751562,0.9284452296819788,0.9116040209790208,0.8750683373812909,0.8728256130807618,0.8078421465010481,0.872,Direct,
7days_ln,rnn,Site A to D,4000.0,0.0,0.8456250000000001,0.4292291950886766,0.7513461538461539,0.985909438288116,0.7215566265286832,0.8691700484825275,0.6622765650006712,0.8456250000000001,Direct,
7days_ln,rnn,Site A to E,4000.0,0.0,0.72965625,0.3952668680765357,0.3878992628992629,0.9112019230769232,0.5650845426902829,0.6626442168674732,0.4004475687079786,0.72965625,Direct,
7days_ln,rnn,Site A to F,4000.0,0.0,0.9585,0.5848765432098765,0.7181818181818181,0.9949192650334072,0.7661408102027174,0.8874213030453094,0.7521889759883285,0.9585,Direct,
7days_ln,rnn,Site D to E,4000.0,0.0,0.7224375,0.4132678751258811,0.4428746928746928,0.8845192307692309,0.5799433213953606,0.6615713456841514,0.3962309402217546,0.7224375,Direct,
7days_ln,transformer,Site A to B,4000.0,0.0,0.910375,0.8684073560027759,0.9440812720848056,0.9224213286713288,0.9113591593952134,0.9100069499404828,0.8650698153851075,0.910375,Direct,
7days_ln,transformer,Site A to D,4000.0,0.0,0.9116875,0.7160641200545703,0.8473076923076922,0.9826136797860144,0.8487975306801318,0.9033331594258848,0.8203244247898316,0.9116875,Direct,
7days_ln,transformer,Site A to E,4000.0,0.0,0.7356562499999999,0.4039526686807653,0.4404176904176904,0.908221153846154,0.5852431689025346,0.6726601562167519,0.4197497934355838,0.7356562499999999,Direct,
7days_ln,transformer,Site A to F,4000.0,0.0,0.9738749999999998,0.7325102880658437,0.8651515151515152,0.9951628619153674,0.8631629187125456,0.9040418485939316,0.8551051394214025,0.9738749999999998,Direct,
7days_ln,transformer,Site D to E,4000.0,0.0,0.7031250000000001,0.3265357502517623,0.3971130221130221,0.8977403846153846,0.5384151916610376,0.6372687675585288,0.3300796348259781,0.7031250000000001,Direct,
7days_ln_pheno_peak,RF,Site A to B,4000.0,0.0,0.89025,0.8002255378209575,0.9590989399293288,0.9183784965034965,0.8925756466781943,0.8983804268316137,0.8347181206392607,0.89025,Direct,
7days_ln_pheno_peak,RF,Site A to D,4000.0,0.0,0.8592499999999998,0.6325034106412005,0.8313461538461538,0.929451662208636,0.7979912263349528,0.8135325485335868,0.7247369331207696,0.8592499999999998,Direct,
7days_ln_pheno_peak,RF,Site A to E,4000.0,0.0,0.6489999999999999,0.3619083585095669,0.4619164619164618,0.7877884615384615,0.5368599895450348,0.5527674922267496,0.278808791123419,0.6489999999999999,Direct,
7days_ln_pheno_peak,RF,Site A to F,4000.0,0.0,0.95365625,0.5632716049382716,0.8393939393939395,0.9854537861915368,0.7956968413131287,0.7895131860156167,0.752204281018619,0.95365625,Direct,
7days_ln_pheno_peak,RF,Site D to E,4000.0,0.0,0.6491250000000001,0.1023413897280966,0.0924447174447174,0.945,0.3800494270943666,0.5062704978221101,0.0886646361784961,0.6491250000000001,Direct,
7days_ln_pheno_peak,atbi-gru,Site A to B,4000.0,0.0,0.832875,0.7289208882720333,0.8799469964664309,0.9042832167832168,0.8380323253978779,0.8380840149582299,0.7497779714429648,0.832875,Direct,
